EventName, MovieName, Location , ZipCode, Phone, StartDate, EndDate, EventUrl, ParkUrl, Community, MovieClosedCaption, MovieRating,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Movies in the Parks at Beverly,Fireproof ,Beverly Park,60655,(312) 747-6024,07/16/2014 08:30:00 PM,07/16/2014 10:32:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Beverly1/,http://www.chicagoparkdistrict.com/parks/Beverly-Park/,Beverly,Yes,PG,"2460 W 102nd St Chicago, IL 60655
Chicago, IL 60655
(41.70822525, -87.68319702)",33,71,4447,661,42,33
Movies in the Parks at Holstein,The Goonies,Holstein Park,60647,(312) 742-7554 ,08/28/2014 08:00:00 PM,08/28/2014 09:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Holstein4/,http://www.chicagoparkdistrict.com/parks/Holstein-Park/,Logan Square,Yes,PG,"2200 N. Oakley Ave. Chicago IL 60647
Chicago, IL 60647
(41.9219017, -87.68556213)",1,23,22535,324,40,16
Movies in the Parks at Dvorak,Despicable Me 2,Dvorak Park,60608,(312) 746-5083,06/20/2014 09:00:00 PM,06/20/2014 10:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dvorak2/,http://www.chicagoparkdistrict.com/parks/Dvorak-Park/,Lower West Side,Yes,PG,"1119 W. Cullerton St. Chicago IL 60608
Chicago, IL 60608
(41.85511398, -87.65414429)",43,33,14920,251,26,8
Movies in the Parks at White (Willye B),Cloudy With a Chance of Meatballs 2,White (Willye B.) Park,60626,(773) 262-5051,08/27/2014 08:00:00 PM,08/27/2014 09:34:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-White-Willye-B1/,http://www.chicagoparkdistrict.com/parks/white-willye-b-park/,Rogers Park,Yes,PG,"1610 W. Howard Chicago IL 60626
Chicago, IL 60626
(42.01991653, -87.67008972)",9,10,21853,340,5,3
Movies in the Parks at Stanton,Despicable Me 2,Stanton Park,60610,(312) 742-7896,08/15/2014 08:00:00 PM,08/15/2014 09:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Stanton/,http://www.chicagoparkdistrict.com/parks/Stanton-Park/,Near North Side,Yes,PG,"618 W Scott St Chicago, IL 60610
Chicago, IL 60610
(41.90510559, -87.64409637)",54,37,14926,108,46,41
@home Documentary at Austin Town Hall,@home,Austin Town Hall Park,60644,(773) 287-7658,05/29/2014 07:00:00 PM,05/29/2014 08:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-home-Documentary-at-Austin-Town-Hall/,http://www.chicagoparkdistrict.com/parks/Austin-Town-Hall-Park/,Austin,No,NR,"5610 W Lake St Chicago, IL 60644
Chicago, IL 60644
(41.88805771, -87.76578522)",32,26,22216,672,7,52
Movies in the Parks at Cragin,Despicable Me 2,Cragin Park,60639,(312) 746-5065,08/01/2014 08:00:00 PM,08/01/2014 09:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Cragin2/,http://www.chicagoparkdistrict.com/parks/Cragin-Park/,Belmont Cragin,Yes,PG,"2611 N. Lockwood Ave. Chicago IL 60639
Chicago, IL 60639
(41.92812347, -87.75872803)",2,19,22615,80,17,7
Movies in the Parks at Lawler,The Nut Job,Lawler Park,60638,(773) 284-7328,08/12/2014 08:00:00 PM,08/12/2014 09:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lawler/,http://www.chicagoparkdistrict.com/parks/Lawler-Park/,Clearing,Yes,PG,"5210 W. 64th St. Chicago IL 60638
Chicago, IL 60638
(41.77602768, -87.75245667)",7,62,22268,337,15,23
Movies in the Parks at Galewood,The Hunger Games: Catching Fire,Galewood Park,60639,(312) 746-5089 ,07/25/2014 08:30:00 PM,07/25/2014 10:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Galewood1/,http://www.chicagoparkdistrict.com/parks/Galewood-Park/,Austin,Yes,PG-13,"5729 W. Bloomingdale Ave. Chicago IL 60639
Chicago, IL 60639
(41.91244507, -87.76873779)",2,26,22615,597,7,52
Movies in the Parks at Revere,Patang,Revere Park,60618,(773) 478-1220,06/22/2014 09:00:00 PM,06/22/2014 10:40:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Revere1/,http://www.chicagoparkdistrict.com/parks/Revere-Park/,North Center,No,NR,"2509 W. Irving Park Rd. Chicago IL 60618
Chicago, IL 60618
(41.9539299, -87.69141388)",39,46,21538,110,18,13
@home Documentary at Piotrowski,@home,Piotrowski Park,60623,(312) 747-6608 ,06/04/2014 07:00:00 PM,06/04/2014 08:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-home-Documentary-at-Piotrowski/,http://www.chicagoparkdistrict.com/parks/Piotrowski-Park/,South Lawndale,No,NR,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)",57,32,21569,200,28,14
Movies in the Parks at Grant,High Anxiety,Grant Park,60602,(312) 742-3918,06/23/2014 09:00:00 PM,06/23/2014 10:34:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Grant/,http://www.chicagoparkdistrict.com/parks/grant-park/,Loop,No,PG,"337 E. Randolph St. Chicago, IL 60602
Chicago, IL 60602
(41.88437653, -87.61938477)",41,38,14309,580,36,22
Movies in the Parks at West Lawn,Cloudy with a Chance of Meatballs 2,West Lawn Park,60629,(773) 284-2803,06/26/2014 09:00:00 PM,06/26/2014 10:34:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-West-Lawn/,http://www.chicagoparkdistrict.com/parks/West-Lawn-Park/,West Lawn,Yes,PG,"4233 W. 65th St. Chicago IL 60629
Chicago, IL 60629
(41.77493286, -87.72831726)",58,63,21867,6,15,23
Movies in the Parks at Oz,The Wizard of Oz,Oz Park,60614,(312) 742-7898,08/23/2014 08:00:00 PM,08/23/2014 09:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Oz5/,http://www.chicagoparkdistrict.com/parks/Oz-Park/,Lincoln Park,Yes,PG,"2021 N. Burling St. Chicago IL 60614
Chicago, IL 60614
(41.92099187, -87.64469862)",16,68,21190,798,34,51
Family Movie Night at Edgebrook,A League of Their Own,Edgebrook Park,60646,(773) 631-7461,06/07/2014 07:45:00 PM,06/07/2014 09:45:00 PM,http://www.chicagoparkdistrict.com/events/Night-OutFamily-Movie-Night-at-Edgebrook/,http://www.chicagoparkdistrict.com/parks/Edgebrook-Park/,Forest Glen,N/A,PG,"6525 N. Hiawatha Ave. Chicago IL 60646
Chicago, IL 60646
(41.99946594, -87.76202393)",18,12,22532,782,29,34
Movies in the Parks at Armour Square,Willy Wonka & the Chocolate Factory,Armour Square Park,60616,(312) 747-6012,06/28/2014 09:00:00 PM,06/28/2014 10:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Armour-Square1/,http://www.chicagoparkdistrict.com/parks/Armour-Square-Park/,Armour Square,Yes,G,"3309 S Shields Ave Chicago, IL 60616
Chicago, IL 60616
(41.83438492, -87.63520813)",40,35,21194,376,48,26
