 EventName , MovieName,ParkName, ZipCode, Phone, StartDate, EndDate, ContactName, ContactEmail, EventUrl, ParkUrl, Community, MovieClosedCaption, MovieRating,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Night Out: Movies in the Parks at Montgomery Ward,A League of Their Own,"Ward, A. Montgomery Park",60606,(312) 742-7895,08/11/2015 08:00:00 PM,08/11/2015 10:08:00 PM,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward18/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",55,37,4446,652,36,22
Night Out: Movies in the Parks at Buttercup,Frozen,Buttercup Playlot Park,60640,(312) 742-7522 ,07/18/2015 08:30:00 PM,07/18/2015 10:12:00 PM,Jennifer Runge   (Margate Park),,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Buttercup1/,http://www.chicagoparkdistrict.com/parks/Buttercup-Playlot-Park/,Uptown,Yes,PG,"4901 N Sheridan Rd Chicago, IL 60640
Chicago, IL 60640
(41.97158432, -87.65485382)",15,31,22616,635,16,40
Night Out: Movies in the Parks at Shabbona,Annie (2014),Shabbona Park,60634,(773) 685-6205,08/01/2015 08:00:00 PM,08/01/2015 09:58:00 PM,Laura LeVitus,laura.levitus@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Shabbona1/,http://www.chicagoparkdistrict.com/parks/Shabbona-Park/,Dunning,Yes,PG,"6935 W. Addison St. Chicago IL 60634
Chicago, IL 60634
(41.94532394, -87.79989624)",52,17,22254,396,19,39
Night Out: Movies in the Parks at Maplewood,Big Hero 6,Maplewood Playlot Park,60647,(312) 742-0041 ,08/14/2015 08:00:00 PM,08/14/2015 09:36:00 PM,Samantha Jayne,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Maplewood3/,http://www.chicagoparkdistrict.com/parks/Maplewood-Playlot-Park/,West Town,,,"1640 N.Maplewood Ave. Chicago IL 60647
Chicago, IL 60647
(41.9112854, -87.69094086)",1,25,22535,287,41,24
Night Out: Movies in the Parks at Wicker,The Final Cut,Wicker Park,60622,(312) 742-7553,09/03/2015 08:00:00 PM,09/03/2015 09:35:00 PM,"Claribel ""Clare"" Rodriguez",claribel.rodriguez@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wicker12/,http://www.chicagoparkdistrict.com/parks/Wicker-Park/,West Town,Yes,PG-13,"1425 N. Damen Avenue Chicago IL 60622
Chicago, IL 60622
(41.90821838, -87.67736053)",4,25,21560,481,41,24
Night Out: Movies in the Parks at Sheridan,The Sandlot,Sheridan Park,60607,(312) 746-5369,08/05/2015 08:00:00 PM,08/05/2015 09:41:00 PM,Marty Murphy,marty.murphy@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Sheridan2/,http://www.chicagoparkdistrict.com/parks/Sheridan-Park/,Near West Side,Yes,PG,"910 S. Aberdeen St. Chicago IL 60607
Chicago, IL 60607
(41.87052536, -87.65449524)",44,29,14917,87,26,8
Night Out: Movies in the Parks at Bradley,The Lego Movie,Bradley Park,60617,(312) 747-6022,07/07/2015 08:30:00 PM,07/07/2015 10:30:00 PM,Cheryl Alli,cheryl.alli@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Bradley1/,http://www.chicagoparkdistrict.com/parks/Bradley-Park/,South Deering,N/A,PG,"9729 S Yates Ave Chicago, IL 60617
Chicago, IL 60617
(41.71809769, -87.56407166)",25,48,21202,527,47,43
Night Out: Movies in the Parks at Davis Square,Over the Hedge,Davis Square Park,60609,(312) 747-6107 ,07/26/2015 08:30:00 PM,07/26/2015 09:53:00 PM,Sean Ortiz,sean.ortiz@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Davis-Square2/,http://www.chicagoparkdistrict.com/parks/Davis-Square-Park/,New City,Yes,PG,"4430 S. Marshfield Ave. Chicago IL 60609
Chicago, IL 60609
(41.81347275, -87.66633606)",37,59,14924,706,3,29
Night Out: Movies in the Parks at Chicago History,Ferris Bueller's Day Off,Lincoln Park,60614,(312) 742-7726 ,06/17/2015 08:30:00 PM,06/17/2015 10:13:00 PM,Lauren Quinn,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chicago-History4/,http://www.chicagoparkdistrict.com/parks/lincoln-park/,Lincoln Park,Yes,PG-13,"2045 N Lincoln Park West Chicago IL 60614
Chicago, IL 60614
(41.928495, -87.636008)",16,68,21190,101,34,51
Night Out: Movies in the Parks at La Villita,Rio 2,La Villita Park,60608,312-746-5962,08/29/2015 08:00:00 PM,08/29/2015 09:41:00 PM,Andrew Del Rivero (Piotrowski Park),andrew.derivero@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-La-Villita1/,http://www.chicagoparkdistrict.com/parks/la-villita-park/,"Douglas, South Lawndale",Yes,G,"2800 S. Sacramento Blvd., Chicago, IL 6060860608
(41.8408611, -87.7000382)",57,32,14920,124,1,29
