EventName,MovieName,MovieClosedCaption,MovieRating,Location,Location Notes,StartDate,EndDate,Zipcode,Phone,ContactName,ContactEmail,EventUrl,ParkUrl,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Movies in the Parks at Chopin,Pan,N/A,PG,Chopin Park,NULL,,,60641,(773) 685-3247,Chris Benson,,,,"3420 N. Long Ave.
Chicago, IL
(41.943124, -87.76173)",21,15,22618,361,21,25
Movies in the Parks at Rosenblum,The Color Purple,Yes,PG-13,Rosenblum Park,NULL,,,60649,(312) 747-7661,TBD,,,,"7547 S. Euclid Ave.
Chicago, IL",,,,,,
Movies in the Parks at Rutherford Sayre,Inside Out,N/A,PG,Rutherford Sayre Park,NULL,,,60635,(312) 746-5368,Kim Gapinski,,,,"6871 W. Belden Ave.
Chicago, IL
(41.921134, -87.798468)",3,18,4454,136,7,39
Movies in the Parks at Pulaski,Star Wars: The Force Awakens,Yes,PG-13,Pulaski Park,NULL,,,60622,(312) 742-7559,James Boldt,james.boldt@chicagoparkdistrict.com,,,"1419 W. Blackhawk St.
Chicago, IL
(41.907049, -87.663404)",49,25,22620,483,11,16
Movies In The Parks at Bessemer,Jurassic World,N/A,PG-13,Bessemer Park,NULL,,,60617,(312) 747-6023,Alonzo Dunlap,alonzo.dunlap@chicagoparkdistrict.com,,,"8930 S. Muskegon Ave.
Chicago, IL
(41.733131, -87.555461)",25,42,21202,175,47,47
Movies in the Parks at Mayfair,October Sky,N/A,PG,Mayfair Park,NULL,,,60630,(773) 685-3361,Maria McDorman,maria.mcdorman@chicagoparkdistrict.com,,,"4550 W. Sunnyside Ave.
Chicago, IL
(41.962597, -87.7422)",48,16,21869,362,38,20
Movie at the DuSable Museum,Lee Daniels' The Butler,N/A,PG-13,Washington Park,NULL,,,60637,(773) 256-1248,Janie M. Collins,janie.collins@chicagoparkdistrict.com,,,"5531 S. Martin Luther King Dr.
Chicago, IL",,,,,,
Movies In The Parks at West Lawn,Minions,N/A,PG,West Lawn Park,NULL,,,60629,(773) 284-2803,Paul Pope,paul.pope@chicagoparkdistrict.com,,,"4233 W. 65th St.
Chicago, IL
(41.774944, -87.728188)",58,63,21867,6,15,23
Movies in the Parks at Piotrowski,Teenage Mutant Ninja Turtles (2014),Yes,PG-13,Piotrowski Park,NULL,,,60623,(312) 747-6608 ,Andrew Del Rivero ,andrew.delrivero@chicagoparkdistrict.com,,,"4247 W. 31st St.
Chicago, IL
(41.836813, -87.731076)",57,32,21569,248,28,14
Movies in the Parks at Lake Shore,Zootopia,N/A,G,Lake Shore Park,NULL,,,60611,(312) 742-7891,Michael Mucci,michael.mucci@chicagoparkdistrict.com,,,"808 N. Lake Shore Dr.
Chicago, IL
(41.897212, -87.617298)",6,37,21182,233,11,22
Movies in the Parks at Minuteman,Jurassic World,Yes,PG-13,Minuteman Park,NULL,,,60638,(773) 284-0214,Juanita Garcia,juanita.garcia@chicagoparkdistrict.com,,,"5940 S. Central Ave.
Chicago, IL
(41.784098, -87.761961)",7,62,22268,86,6,35
Midweek on the Midway at Midway Plaisance,Brave,N/A,PG,Midway Plaisance Park,NULL,,,60637,(312) 745-2470,Rick Shaheen,Rick.Shaheen@chicagoparkdistrict.com,,,"1130 Midway Plaisance North
Chicago, IL",,,,,,
