StartDate,ParkName,Phone,MovieName,MovieClosedCaption,MovieRating,ParkAddress,CommunityAreas,ZipCode,Wards,Year,Weekday,longitude,latitude,month
2014-07-16,Beverly Park,(312) 747-6024,Fireproof,Yes,PG,"2460 W 102nd St Chicago, IL 60655
Chicago, IL 60655
(41.70822525, -87.68319702)",71,60655,42,2014,Wednesday,-118.4177707,34.1177924,Jul
2014-08-28,Holstein Park,(312) 742-7554,The Goonies,Yes,PG,"2200 N. Oakley Ave. Chicago IL 60647
Chicago, IL 60647
(41.9219017, -87.68556213)",23,60647,40,2014,Thursday,-87.6850684,41.921348,Aug
2014-06-20,Dvorak Park,(312) 746-5083,Despicable Me 2,Yes,PG,"1119 W. Cullerton St. Chicago IL 60608
Chicago, IL 60608
(41.85511398, -87.65414429)",33,60608,26,2014,Friday,-87.6539063,41.8543217,Jun
2014-08-27,White (Willye B.) Park,(773) 262-5051,Cloudy With a Chance of Meatballs 2,Yes,PG,"1610 W. Howard Chicago IL 60626
Chicago, IL 60626
(42.01991653, -87.67008972)",10,60626,5,2014,Wednesday,-87.6708443,42.0197679,Aug
2014-08-15,Stanton Park,(312) 742-7896,Despicable Me 2,Yes,PG,"618 W Scott St Chicago, IL 60610
Chicago, IL 60610
(41.90510559, -87.64409637)",37,60610,46,2014,Friday,-87.6457663,41.9058188,Aug
2014-05-29,Austin Town Hall Park,(773) 287-7658,@home,No,NR,"5610 W Lake St Chicago, IL 60644
Chicago, IL 60644
(41.88805771, -87.76578522)",26,60644,7,2014,Thursday,-87.7657791,41.888194,May
2014-08-01,Cragin Park,(312) 746-5065,Despicable Me 2,Yes,PG,"2611 N. Lockwood Ave. Chicago IL 60639
Chicago, IL 60639
(41.92812347, -87.75872803)",19,60639,17,2014,Friday,-87.7577279,41.928364,Aug
2014-08-12,Lawler Park,(773) 284-7328,The Nut Job,Yes,PG,"5210 W. 64th St. Chicago IL 60638
Chicago, IL 60638
(41.77602768, -87.75245667)",62,60638,15,2014,Tuesday,-87.7512174,41.7766954,Aug
2014-07-25,Galewood Park,(312) 746-5089,The Hunger Games: Catching Fire,Yes,PG-13,"5729 W. Bloomingdale Ave. Chicago IL 60639
Chicago, IL 60639
(41.91244507, -87.76873779)",26,60639,7,2014,Friday,-87.7686754,41.9123281,Jul
2014-06-22,Revere Park,(773) 478-1220,Patang,No,NR,"2509 W. Irving Park Rd. Chicago IL 60618
Chicago, IL 60618
(41.9539299, -87.69141388)",46,60618,18,2014,Sunday,-87.6920557,41.9531303,Jun
2014-06-04,Piotrowski Park,(312) 747-6608,@home,No,NR,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)",32,60623,28,2014,Wednesday,-87.7309295,41.8348342,Jun
2014-06-23,Grant Park,(312) 742-3918,High Anxiety,No,PG,"337 E. Randolph St. Chicago, IL 60602
Chicago, IL 60602
(41.88437653, -87.61938477)",38,60602,36,2014,Monday,-87.6187505,41.8721722,Jun
2014-06-26,West Lawn Park,(773) 284-2803,Cloudy with a Chance of Meatballs 2,Yes,PG,"4233 W. 65th St. Chicago IL 60629
Chicago, IL 60629
(41.77493286, -87.72831726)",63,60629,15,2014,Thursday,-87.729093,41.7737051,Jun
